"","model","term","value","percentage"
"1","E+G","E",39.7936054848129,2.89975609687554
"2","E+G","G",1211.95865359185,88.3153072484297
"3","E+G","residual",120.556450876219,8.78493665469472
"4","E+G+A+AE+AG","E",37.65961955672,7.23808954123877
"5","E+G+A+AE+AG","G",18.947218939286,3.64161053282694
"6","E+G+A+AE+AG","A",17.3065154454174,3.32627121344381
"7","E+G+A+AE+AG","A*E",18.126067000514,3.48378707816241
"8","E+G+A+AE+AG","A*G",318.232714038651,61.1635727146418
"9","E+G+A+AE+AG","residual",110.025649982634,21.1466689196863
"10","E+G+A+F","E",1.91434825355969,0.13634218819642
"11","E+G+A+F","G",511.977951231993,36.4636862961014
"12","E+G+A+F","A",25.1217281275546,1.78919973302525
"13","E+G+A+F","F",751.306130098384,53.5089274339312
"14","E+G+A+F","residual",113.756070551617,8.10184434874572
"15","E+G+F+EF","E",1.39555305604278,0.128500612707666
"16","E+G+F+EF","G",536.365995944545,49.3878457834276
"17","E+G+F+EF","F",361.136857537468,33.2529868813984
"18","E+G+F+EF","E*F",80.5191698705905,7.41409480512535
"19","E+G+F+EF","residual",106.610751890147,9.81657191734097
"20","E+G+F+EG+EF","E",1.13632875905011,0.0964841776057593
"21","E+G+F+EG+EF","G",481.142125059032,40.8531438442286
"22","E+G+F+EG+EF","F",476.076205507923,40.4230032904383
"23","E+G+F+EG+EF","E*G",18.9015680869345,1.60490723991851
"24","E+G+F+EG+EF","E*F",100.395403393644,8.52444141247591
"25","E+G+F+EG+EF","residual",100.084229360281,8.49802003533292
